ProductName,IngredientsText,ContainsCrustacean,ContainsMilk,ContainsEgg,ContainsFish,ContainsNut,ContainsSoy,ContainsSulphite
Nissin Geki - Hot & Spicy Korean Cheese,"INSTANT NOODLES WITH SEASONING & CHEESE POWDER MK | Yeast Extract Powder, Mixed Spices 1.66% (Ginger, Blag Pepper, Red Chill Cumin & Turmeric), Flavours (Natural Nature Identical), Acidity Regulator (INS 330), Tom Powder, Colour [INS 160c(i)], Oleoresin Capsicum Anticaking Agent (INS 551). CHEESE POWDER MIX (6.25%): Skimmed Milk Powder, Palm Fat, Cheese Powder, Nature Identical Flavol hee Extract Powder, Colour [INS 160c(i)) & Turmet ALLERGEN INFORMATION: CONTAINS WHEAT, SO & MILK.",0,1,0,0,0,0,0
Nissin Geki - Hot & Spicy Korean Veg Flavour,"INGREDIENTS: NOODLES (82.90%): Refined Wheat Flour (Maida], Edible Vegetable Oil (Palm Oil), Tapioca Starch, lodised Salt, Acidity Regulators [INS 451(i} & INS 500Iil], Thickener (INS 412], Turmeric Powder & Antioxidant (INS 319]. SEASONING MIX (10.00%): Sugar, Hydrolysed Vegetable Protein (Soyal, Soya Sauce Powder, Roasted Sesame Seeds, Garlic Powder, lodised Salt, Flavour Enhancers (INS 631 & INS 627], Mixed Spices - 1.43% (Ginger, Black Pepper, Cumin, Turmeric & Coriander), Onion Powder, Oleoresin Capsicum, Acidity Regulator (INS 330], Tomato Powder & Anticaking Agent [INS 551). SEASONING OIL (7.50%): Edible Vegetable Cil (Palmolein Oil, Soya Bean Oil & Chilli Seed Oil, Colour (160cli]] & Oleoresin Rosemary,",0,0,0,0,0,0,0
YiPPee! Korean Noodles Spicy Kimchi,"Pi Dehydrated Onion, Spic Red Chilli, Dried Ginge Salt, Hydrolyzed Ve Sumas fay r hove 551) stm Monta pi D Dehydrated Veg les Onion, Beans, Zucchini). Voge: , Soy. May Cont s Learagh gree = t Flour), en, coor fr 1S 466), Acidity so Ins sin, NS 5040, 330, Protein es in Isolate, Extract, Soyabean Sauce Powder rin], Starch, Dehydrated Vegetables sachin Flavour Enhancers (INS 627, INS ead — io ee Natural ng agent (INS sales Sekine iiss (INS 415). les (100.0%)(Cabbage, Carrot, Spring tain Milk, Nut. 4",0,1,0,0,1,1,0
YiPPee! Korean Noodles Fiery Hot,"Ir Noodles: Maida (Refined Wheat Flour), Refined Palm Oil, Starch, lodiz ae Salt, esa she [Mono and diglycerid a Oil], Wheat Gluten, TI hickenet ty Regulators [INS 500(ii), INS 5010, INS 330], Stabilizers [INS 339(ii), INS 450(iii)}. : engin fa ae bone gg Lae Lea bala Red i P I Hydrolyzed » Instant hy pt der a fittest m Oil, Starch, lodized Salt, Wheat ‘en Dehydrated Onion, oa Maltede ri cai ‘to. n (22.9%), Beans (6. ay Contain Milk, Nut. .",0,1,0,0,1,0,0
Too Yumm! K-Bomb Hot n Spicy,"d s$ INGREDIENTS & Noodles: Refined Wheat Flour, Edible Vegetable Oil (Rice Bran Oil), lodized Salt, Wheat Gluten, Starch, Gelling Agent (INS 508), Sequestrant (INS 451(i)), Thickener (INS 412), Acidity Regulators (INS 501(i), INS 500(i)) Seasoning Mix: lodized salt, Maltodextrin, Sugar, *Spices and Condiments (Contains Onion, Garlic, Chilli and Pepper), Natural and Nature Identical Flavouring Substances, Hydrolysed Vegetable Protein, Fermented Soya Sauce Powder, Flavour Enhancers (INS 627, INS 631), Acidity Regulator (INS 330), Thickener (INS 412), Yeast Extract, Anticaking Agent (INS 551) and Natural Colour (INS 150d) *Used as natural flavouring agent € Garnish: Soya Granules, Dehydrated Vegetables (Carrot, Cabbage), Spices and Condiments (Chilli) and Dehydrated Herb (chives) ALLERGEN STATEMENT CONTAINS WHEAT, SOYA AND SULPHITE MAY CONTAIN MILK",0,1,0,0,0,0,1
Top Ramen Noodles Curry,"INSTANT NOODLES WITH SEASONING INGREDIENTS: NOODLES (85%): Wheat Flour, Edible Vegetable Oil Palml, lodised Salt, Acidity Regulators [INS 500(i), INS 451i], Thickener (INS 412) & Antioxidant (INS 319). SEASONING MIX (15%): Corn Starch, lodised Salt, Sugar, Onion Powder, Spice Mix - 8.8% (Red Chilli, Turmeric, Coriander, Cumin, Ginger, Cinnamon, Fenugreek, Clove & Asafoetidal, Noodle Powder (Wheat Flour, Edible Vegetable Oil (Palml, lodised Salt, Acidity Regulators {INS 500{i), INS 451i}, Thickener {INS 412] & Antioxidant (INS 319]], Edible Vegetable Oil (Palm), Flavour Enhancers [Yeast Extract, INS 627, INS 631], Garlic, Tomato Powder, Acidity Regulator (INS 330}, Colours [INS 140c{i), INS 150d], Anticaking Agent [INS 551) & Antioxidant (INS 319). CONTAINS PERMITTED NATURAL COLOURS & ADDED FLAVOUR (NATURE IDENTICAL]. ALLERGEN INFORMATION: CONTAINS WHEAT. MAY CONTAIN TRACES OF MILK & SOYA.",0,1,0,0,0,0,0
MAGGI Chicken Noodles,"Ingredients : Noodles: Refined wheat flour (Maida), Palm oil, lodised salt, Wheat gluten, Thickeners (508 & 412), Acidity regulator (501(i) & 500(i)) and Humectant (451(i)). Tastemaker: Mixed spices (22%) (Dehydrated onion, Dried garlic, Red chilli powder, Black pepper powder, Capsicum extract, Turmeric powder, Nutmeg powder, Coriander extract, Cumin extract), Sugar, Refined wheat flour (Maida), lodised salt, Starch, Chicken meat (5.7%), Palm oil, Thickener (508), Chicken fat (2.3%), Natural flavour, Flavour enhancer (635), Nature identical flavouring substance, Acidity regulator (330), Colour (150d), Dehydrated kasuri methi leaves, Onion, Wheat gluten and Dehydrated bread. Contains Wheat. May contain Egg, Milk, Oats and Soy.",0,1,1,0,0,1,0
MAGGI Special Masala Instant Noodles,"Ingredients : Noodles - Refined wheat flour (Maida), Palm oil, Wheat gluten, lodized salt, Thickeners (508 & 412), Acidity regulators (501(i) & 500(i)) & Humectant (451(i)). Tastemaker - Mixed spices (35.2%)(Roasted spice powder (9.3%)(Cumin, Coriander, Turmeric, Aniseed, Black pepper, Fenugreek, Ginger, Clove, Green cardamom, Nutmeg, Bay leaf & Black cardamom), Red chilli powder, Onion powder, Garlic powder, Black pepper powder, Coriander powder, Turmeric powder, Cumin powder, Ginger powder, Aniseed powder, Fenugreek powder, Capsicum extract & Cumin extract), Sugar, lodized salt, Refined wheat flour (maida), Onion, Thickener (508), Starch, Flavour enhancer (635), Yeast extract powder, Palm oil, Dehydrated kasuri methi leaves, Acidity regulator (330), Corn oil, Mineral & Wheat gluten. Allergen note- Contains wheat. May contain Milk, Mustard & Soy.",0,1,0,0,0,1,0
MAGGI 2- Minute Instant Masala Noodles,"NOODLES: Refined wheat flour (Maida), Palm oil, lodized salt, Wheat gluten, Thickeners (508 & 412), Acidity regulators (501(i) & 500(i)) and Humectant (451(i)). MASALA ""TASTEMAKER’: Mixed spices (25.6%) (Onion powder, Coriander powder, Turmeric powder, Red chilli powder, Garlic powder, Cumin powder, Aniseed powder, Ginger powder, Fenugreek powder, Black pepper powder, Clove powder, Green cardamom powder & Nutmeg powder), Refined wheat flour (Maida), Hydrolysed groundnut protein, Sugar, Palm oil, Starch, lodized salt, © Thickener (508), Flavour enhancer | [onion flakes, Acidity regulator (330), >",0,0,0,0,0,0,0
Sunfeast Yippee Tricolor Pasta Masala,,0,0,0,0,0,0,0
